Occurrence_num,Palaeolongitude,Palaeolatitude,Loc. Num.,Present.region,Old.Class,Order,Family,Genus,Operative_Genus,Operative_Genus.Subgenus,Genus.Subgenus_modifier,Genus_Modified,Modified_Genus,Species,Operative_Species,Genus.Species,British Stage,Appearance,Appearance_FAD,Appearance_LAD,FAD_interval,LAD_interval,Genus BA range,Depth.resolved,max_depth,min_depth,mean_depth,Community,Formation,Depth Association,lithology,Source,Read_more,Genus_FAD_interval,Genus_LAD_interval,interval_resolved,GRID_COORD,FAD_Coarse_Interval,LAD_Coarse_Interval,Cratonic,Palaeocontinent/Terrane,Continent_max_Northing,Continent_min_Northing,Merged.Terrains,Max.Palaeolongitude.Merged.450,Min.Palaeolatitude.Merged.450,Loc_ID
881,44.021,-9.866,20,Central Asia,Articulata,Pentamerida,Virgianidae,Holorhynchus,Holorhynchus,Holorhynchus,,0,Holorhynchus,?,sp.,Holorhynchus_sp.,Ashgill,Rawtheyan,Rawtheyan E,Rawtheyan U,10,12,BA 3,1,3,3,3,Holorhynchus Fauna,?,BA 3,,Rong et al 2004,,4,23,1,45_-10,6,6,0,Tien-Shan,10,8,Tien-Shan,-8,-11,44_-9.9
135,39.851,-13.922,19,Chingiz Range,Articulata,Orthida,Plaesiomyidae,Bokotorthis,Bokotorthis,Bokotorthis,,0,Bokotorthis,abayi,abayi,Bokotorthis_abayi,Caradoc,Caradoc U,Caradoc U,Caradoc U,3,3,BA 2-3,1,3,2,2.5,,Taldyboi Fm,BA 2-3,,Popov et al 2000,,3,6,1,40_-15,3,3,0,Chinghiz,14,9,Chinghiz,-8,-11,39.9_-13.9
187,32.034,-9.294,19,Chingiz Range,Articulata,Orthida,Plaesiomyidae,Bokotorthis,Bokotorthis,Bokotorthis,,0,Bokotorthis,abayi,abayi,Bokotorthis_abayi,Ashgill,Ashgill E?,Pusgillian E,Pusgillian U**,4,6,BA 2-3,1,3,2,2.5,,Taldyboi Fm,BA 2-3,,Popov et al 2000,,3,6,1,30_-10,4,4,0,Chinghiz,14,9,Chinghiz,-8,-11,32_-9.3
648,-83.35,-46.159,33,"Glyn Ceiriog, N Wales",Articulata,Orthida,Linoporellidae,Salopia,Salopia,Salopia,,0,Salopia,abbreviata,abbreviata,Salopia_abbreviata,Caradoc,Caradoc M (U Soud. - E Long.),Caradoc M,Caradoc M,2,2,BA 2-4,1,4,2,3,K. ungula fauna,lo Bryn Siltstone Fm,BA 2,nearshore; rocky shore?,Harper & Brenchley 1993,,1,2,1,-85_-45,2,2,0,Avalonia,46,22,Baltica-Avalonia,-8,-47,-83.4_-46.2
3779,-98.916,-21.636,10,Va.,Articulata,Strophomenida,Leptellinidae,Leptellina,Leptellina,Leptellina,,0,Leptellina,abbreviata,abbreviata,Leptellina_abbreviata,Caradoc,Caradoc E (Wilderness),Caradoc E,Caradoc E,1,1,BA 3-5,1,5,3,4,,Oranda Fm,BA 5 ,,Cooper 1956,Patzkowsky 1995,1,23,1,-100_-20,1,1,0,Laurentia,33,0,Laurentia,18,-28,-98.9_-21.6
5395,-64.133,-20.526,5,Kilbucho ,Articulata,Strophomenida,Xenambonitidae,Chonetoidea_(prev.Sericoidea),Chonetoidea,Chonetoidea,,0,Chonetoidea,abdita,abdita,Chonetoidea_abdita,Caradoc,Caradoc U,Caradoc U,Caradoc U,3,3,BA 4-5,1,5,4,4.5,,Kirkcolm Fm,BA 5,,Candela & Harper 2010,,1,23,1,-65_-20,3,3,0,Midland Valley Terrane,31,18,Laurentia,18,-28,-64.1_-20.5
5258,-83.451,-46.1,33,"Bala, N Wales",Articulata,Strophomenida,Xenambonitidae,Chonetoidea_(prev.Sericoidea),Chonetoidea,Chonetoidea,,0,Chonetoidea,abdita_abdita,abdita_abdita,Chonetoidea_abdita_abdita,Caradoc,Caradoc E (Costonian - E Burellian),Caradoc E,Caradoc E,1,1,BA 4-5,1,5,4,4.5,,Derfel Lst. - Nant Hir Mudst.,BA 3-4,,Harper et al 1985,Cocks 2010,1,23,1,-85_-45,1,1,0,Avalonia,46,22,Baltica-Avalonia,-8,-47,-83.5_-46.1
5259,-83.451,-46.1,33,"Shelve inlier, Shropshire",Articulata,Strophomenida,Xenambonitidae,Chonetoidea_(prev.Sericoidea),Chonetoidea,Chonetoidea,,0,Chonetoidea,abdita_abdita,abdita_abdita,Chonetoidea_abdita_abdita,Caradoc,Caradoc E (M Soudleyan),Caradoc E,Caradoc E,1,1,BA 4-5,1,5,4,4.5,,Hagley Shale Fm,,,Cocks 2010,Williams 1963,1,23,1,-85_-45,1,1,0,Avalonia,46,22,Baltica-Avalonia,-8,-47,-83.5_-46.1
5392,-83.625,-46.431,33,"Powys, Bala, Wales",Articulata,Strophomenida,Xenambonitidae,Chonetoidea (prev.Sericoidea),Chonetoidea,Chonetoidea,,0,Chonetoidea,abdita_complicata,abdita_complicata,Chonetoidea_abdita_complicata,Caradoc,Caradoc U (Cheneyan - Streffordian),Caradoc U,Caradoc U,3,3,BA 4-5,1,5,4,4.5,,Nod Glas Fm,BA 3-5,,Cocks & Rong 1989,Cocks 2010,1,23,1,-85_-45,3,3,0,Avalonia,46,22,Baltica-Avalonia,-8,-47,-83.6_-46.4
2196,4.852,-68.254,41,Brittany,Articulata,Orthida,Hesperorthidae,Dolerorthis,Dolerorthis,Dolerorthis,,0,Dolerorthis,aberensis,aberensis,Dolerorthis_aberensis,Ashgill,Ashgill (pre Hirnantian),Pusgillian E,Rawtheyan U,4,12,BA 2-5,1,5,2,3.5,,"Niv. 16, Tufs et calcaires de Rosan Fm",BA 3-4,carbonates,Boucot et al 2003,Melou 1990,1,23,1,5_-70,4,6,0,Armorica,76,66,Greater_Gondwana,35,-90,4.9_-68.3
